key_id,mid,following_num,follower_num
93,1140672573,118,2974279
94,17596141,24,226521
95,155301349,9,270091
96,27218150,1050,3589288
97,21950148,289,511927
98,1367539810,15,216633
99,21392619,15,289183
100,259584300,156,440475
101,478691043,74,2444237
102,18203032,320,399542
103,16054375,371,1364943
104,626406599,9,209455
105,285499073,223,4736225
106,108532523,52,677911
107,1780540121,122,410321
108,1462401621,16,1220121
109,683207270,21,670
110,383053366,144,1017761
111,1597894741,74,157640
112,11870568,463,3876790
113,1560987,59,37162
114,604710494,19,1368712
115,4134812,59,26072
116,2390163,459,164755
117,1171454712,59,79115
118,585238746,12,1351670
119,495419424,17,949014
120,250858633,39,6283002
121,516503635,43,3420
122,3546556351384136,11,776448
123,11192332,78,43259
124,1430851094,6,345169
125,43055224,461,196031
126,14890801,134,1674824
127,6739643,47,1922401
128,3493105751820861,4,411
129,4134740,590,870639
130,59905809,311,3322583
131,369272484,40,944
132,353609978,1134,1307050
133,3546576142207501,2,135
134,20165629,120,10828493
135,562197,170,9561455
136,517327498,15,29291020
137,2206456,91,6676592
138,1624439811,29,103625
139,391992947,236,2911
140,1136220052,2,672315
141,8263502,251,1167638
142,654552,1534,1818397
143,22707531,160,401183
144,52806762,509,138596
145,544336675,25,4122953
146,1590705,197,1060428
147,1532165,45,7815666
148,8040773,378,64915
149,27559447,80,74358
150,547072854,22,1651792
151,1137066730,117,251190
152,1384903153,85,224
153,18343098,248,2494725
154,553182002,43,9705
155,1486340861,81,601562
156,10272440,351,1121302
157,3461570644413128,10,1578
158,1283676771,594,139609
159,333515232,6,156313
160,108331200,3,104871
161,1372433,207,2380922
162,4641697,6,356394
163,517184570,40,1240823
164,416456638,65,7244
165,88160614,176,398216
166,1310742156,8,471205
167,431073645,130,6852487
168,9824766,103,9589436
169,253350665,124,1358834
170,1923246745,13,1413670
171,3493085782739496,14,593056
172,1143898753,79,1222751
173,8894149,302,1136740
174,6600839,254,30673
175,298700788,26,191763
176,408643543,4,43730
177,1767848350,4,376230
178,352038217,6,163925
179,495745839,74,18115
180,289629258,160,315482
181,375241551,108,389986
182,38125899,15,334603
183,24071691,891,160881
184,6574487,76,4329133
185,10773628,193,411548
186,617285,606,2176685
187,3493120601753789,20,264103
188,405378715,1,276969
189,4977641,170,31887
190,512839,300,368053
191,353368172,46,1196533
192,86439234,540,1286454
193,548196587,36,784777
194,356798697,207,861452
195,357261525,0,1332178
196,1448301,97,8414
197,113362335,246,4485274
198,13167438,550,868166
199,5898335,406,334053
200,1475911897,175,49113
201,352898116,57,45522
202,3546375581075852,71,1003020
203,1985127693,101,1282282
204,1217628212,32,4342312
205,24969032,627,114846
206,8680974,15,518809
207,286525478,176,1945
208,651039864,62,2209755
209,14781644,199,2193985
210,3493120727583319,25,218982
211,18949238,6,11107
212,3546384231827900,2,23677
213,429748638,14,372095
214,3546376436714144,46,100939
215,373388923,27,2460472
216,686127,468,4316626
217,406636263,129,3651780
218,338617869,21,1482992
219,474853499,13,2108148
220,303309,304,2568
221,34470291,596,4688
222,1338171263,45,87672
223,32782335,129,851237
224,14546601,445,848356
225,1098173832,19,1249326
226,357812245,73,23493
227,1184987687,6,27638
228,395936853,122,1274148
229,627888730,121,4905430
230,518863547,4,104839
231,23423168,209,1107610
232,1690991956,81,32835
233,321422126,88,4092294
234,479794307,1,46826
235,45718115,8,96121
236,50111839,1087,1109607
237,10119428,618,6676105
238,14937116,2147,19986
239,649019192,138,1369053
240,392336778,31,941930
241,1596299424,8,1675
242,313580179,98,3384994
243,543931452,65,1688362
244,1070980577,13,358584
245,371855100,10,305281
246,383241659,42,158756
247,1850720242,22,226134
248,154113956,3000,914153
249,6315665,69,58249
250,927587,76,11779752
251,2565897,291,3708
252,1577804,68,8350165
253,34189415,8,2707488
254,38568774,907,1811348
255,83970403,67,114360
256,1343321779,26,2092450
257,351061545,67,1691
258,421912906,31,1491321
259,1160621006,2,590783
260,352735241,442,340570
261,10085983,52,208211
262,19334905,35,252618
263,270538377,183,224396
264,1962211949,33,779604
265,104853743,114,1409220
266,296092268,124,2459034
267,348749915,14,49099
268,8366990,1085,4534036
269,539169,87,46585
270,1234098582,46,201790
271,349721082,106,2666415
272,2771237,28,174215
273,3493089977043464,19,1439323
274,41140492,390,237687
275,33488229,9,1541213
276,3334179,29,2472512
277,503203844,64,15766
278,36466995,18,94527
279,19001465,39,1062115
280,1917161577,5,67368
281,43222001,443,2918385
282,1009701190,0,41928
283,11062819,276,884716
284,1340190821,17,8182523
285,6193241,134,217342
286,3386870,250,1409864
287,689955536,20,526822
288,36047134,97,1833161
289,14235376,11,82501
290,1074545099,73,677200
291,523085457,0,1407738
292,1195284234,63,2330652
293,443285454,66,602164
294,73528331,56,1949275
295,1765787366,76,2764
296,496143336,113,119899
297,1956251,94,41273
298,2051066128,19,652157
299,282994,229,3406944
300,5687194,150,502115
301,94395002,102,1059544
302,305956876,107,694238
303,8784855,275,1454555
304,1210621649,11,128449
305,6724070,346,911893
306,1998025435,132,42972
307,3546380649892472,12,73570
308,3493260093819171,24,1482403
309,946974,601,7148838
310,86205301,147,868176
311,62954137,182,13382
312,701724702,55,570
