key_id,mid,following_num,follower_num,following_id
32,334260848,37,21960,forbidden
33,2083634390,135,947836,forbidden
34,7788379,403,7712829,1453409239;442989497;1732848825;1132571249;17138783;276928941;411379495;596866446;434376696;1119253352;297786973;386869863;1569092195;503481919;1842058887;221524811;3493260093819171;66951624;674180538;30079180;510856133;1842737120;591199409;35847683;1271453507;9596327;13199099;42870908;304578055;383578614;2920960;25637408;319522796;163637592;49246269;451645162;509912170;207261582;942755;490494088;387460933;326246517;11604781;6336952;13839125;957060;423738152;353806838;95304526;693447092;440544870;170948267;23640791;493733326;170028324;518610078;429741851;646732586;1387592680;43707221;1140672573;432174249;7946432;471303350;417583826;32426113;12348874;11097284;520819684;49746395;303740257;84674730;315846984;9458053;520149726;3530725;34579852;4282930;439064571;330663625;10897366;405504949;1582234194;25150941;632887;9303228;249608727;3218685;20259914;8960728;337312411;176037767;483311105;1958342;598464467;437957199;130636947;42561463;2206456;476704454
35,23947287,366,7411517,forbidden
36,15634833,1,5450097,33288095
37,279704683,969,391761,forbidden
38,11164088,562,1722954,294950603;3493260618106936;437263848;129905679;353907023;374650900;4318890;2138746869;54091976;381396513;1343321779;3461567056185947;303740257;492840942;30607293;14583962;34009507;503603181;549189064;3949941;3493257596111693;382580929;207261582;397359831;2119811581;639923249;516465823;210752;397490386;3493110038399830;630077416;552219668;1923246745;407275913;3380239;10967330;333346542;628975618;479640924;27218150;3493264315386832;605544858;222074908;3032988;1640095931;408649186;1184016688;1777717548;452606628;3493080560830654;412719797;671011280;7788379;508959410;8484043;697166795;35570604;397857697;304578055;8465957;765413;424658638;1001749624;1175405305;617881543;1140672573;365842307;382759805;273775900;1199387840;444728505;382867374;34593274;410558000;101229184;1007043700;50660116;345630501;355596637;1908067732;13604554;90183256;547072854;1331008585;487511093;628823248;15076745;1835478788;1124024523;1885250814;11870568;23920239;23947287;406636263;1322418225;338617869;1271916102;485704862;1661648694;504934876
39,672643223,60,674,351899011;37090048;626158084;1359618914;23947287;330453116;256619459;305655196;1710259241;453261827;492840942;275338136;674539396;50329118;1017081142;1908677662;1443076133;172299518;19884769;15657728;479557250;1943450508;505955661;558512282;399619487;14068111;178254042;1316005622;63864984;20912836;5399498;19196942;28378491;37809230;2223018;454145170;388014535;479450657;483879799;99702985;337312411;510829265;381281213;168788411;34781714;601628329;662815987;254624554;11730197;15183062;12807175;328388028;3824804;36882906;33683045;67141499;535019206;404024712;90142376;42448991
40,412630000,367,254372,forbidden
41,2008066013,50,246220,37066233;168687092;5938236;4273977;244100385;23374615;6771326;3885681;47129767;454639870;2403047;470779323;23525897;71466540;349208226;17664804;6762654;320840078;431073645;12876332;32289484;662619355;17979676;1636034895;1238329219;53542;671655664;5806516;495535252;1340190821;9617619;375241551;473222648;644663808;17239951;14048220;24961799;85121149;259584300;627888730;317023543;1773346;1497805319;407241075;337521240;32618090;40120845;24969032;401742377;61879712
42,55051092,825,419637,forbidden
43,5870268,166,6387388,forbidden
44,668942262,3,503236,384942089;473222648;320840078
45,293753863,586,115819,forbidden
46,3493297970481291,2,261929,495535252;473222648
47,27899754,84,1286966,forbidden
48,14690240,299,43635,forbidden
49,649661652,12,1641137,438171807;3493141927692880;235555226;388918923;588278127;423618854;8263502;353539995;50329118;1714748424;674110864;516421304
50,226753644,205,17794,forbidden
51,3913194,286,3979897,forbidden
52,551188239,307,1778580,forbidden
53,38606568,155,1067210,forbidden
54,95515699,31,3929813,686150641;7584632;1155574439;457298308;2097258399;495535252;699916375;15014515;1236558653;50329220;186566604;9617619;458165375;519552569;2306780;403748305;338207368;472613230;549472400;37090048;326499679;278898145;330383888;473940554;20165629;161775300;178778949;57863910;8047632;397079;27563546
55,15892313,12,2054512,forbidden
56,1634447815,36,186972,forbidden
57,3546376524794441,16,326648,forbidden
58,3546384565274965,10,10874,1489575428;3546554124208812;488726377;9617619;3494377758395328;321173469;473222648;432661496;609314775;516088962
59,57592895,134,1117087,forbidden
60,362136024,43,4953,359817973;1453409239;321173469;437169823;478797805;473222648;388323384;27746306;1241806378;23604445;431631557;10729812;11352614;100022032;237311595;25503580;562770406;50329118;395089518;625647470;178778949;15396741;12898702;357261525;368044028;288199917;335908627;1565155;34858100;123938419;301717426;19071708;287003199;2882547;279991456;40851397;39847479;213216169;32786875;295396262;53579195;16794231;1532165
