key_id,mid,following_id
65,158119101,8310854;26146335;3078223;4272739;654552;73528331;357229416;14081338;7514413;1878154667;485297541;25329626;90759531;9096433;96272729;39777637;413703;3493260618106936;8465957;1221879760;455053084;453972;207261582;26321887;86254673;3461565017754459;172447618;1356507171;387086717;1379165407;444716167;608111311;605089517;592150173;110352985;2196632;7450650;488528948;3493135355218667;365173856;671452833;1386655045;24938433;927587;8049684;1492445771;8343376;332707311;11638670;412779406;690748574;23947287;70666;11498527;450882837;20990353;107005226;111095065;382580929;76404018;357261525;495695169;7754948;3461578898803427;688292678;14048220;16326205;395719603;3461565930015324;322250185;2032690645;407275913;373388923;37961599;64755963;419738808;432421961;18070561;1141535211;2573119;495535252;8365699;7481602;1982668634;203337614;90179837;601599567;470962000;1735615743;170948267;2110567804;46546722;9354231;13387545;1919925;206030240;433351;492840942;34587329;1343321779
66,385474,1518090904;53466;1553837749;1358966803;2052423798;10020889;1937308559;608810;8827857;22032635;326499679;419121167;3493285358210000;28607305;13164144;161775300;2196632;458165375;18569850;578297483;81976;7450650;12566101;323068674;35944556;479450657;339656671;170948267;477918;673816;28626598;76991025;1335713025;486287787;10334523;8188433;1783244;662609045;627888730;394593891;259765268;7732998;174902557;1577804;1958342;346563107;1521421134;7807024;2294811;289922458;11688464;243701962;21869937;390513216;2136544030;20165629;93314427;9617619;2378908;52323675;3682229;651039864;23947287;14804670;507866514;296629191;321422126;321173469;18163582;157761;96639395;79577853;34825581;673441361;14583962;271473076;37663924;119801456;88577746;9458053;354552580;423895;2723422;74224871;2379178;401877;4835752;2177677;33683045;1276787;2250815;4079592;2929048;43536;94186;5798753;31604293;374377;7349;402290
67,35929876,391873801;3493075345214307;491415434;570820;517273991;327306505;8045363;490257920;12566101;1576068470;3493133583125123;454911170;342689979;85541401;2457153;13407784;673783888;334561994;1026902342;359973294;86566982;1552147;686150641;22601886;478927391;492840942;228311343;176414546;407054668;289213597;429782160;12551718;9591649;325272035;315825955;41454783;384757350;475302276;1158787858;8169127;233259047;439454715;628210918;1575476;470672374;431434524;4715135;15034787;412466388;184102376;44052424;646730844;23920239;1429723107;238171819;174543788;495535252;3816626;10433908;321173469;394205865;473222648;320840078;38448327;7723660;39056979;24750571;5293668;65590710;489190393;37090048;277329684;19000640;39279965;7827185;11277343;163637592;258761814;254463269;21151219;43531034;318355178;25150941;37029661;37961599;129259501;129802844;2609425;10489424;10138676;31654362;266632298;9983883;13127303;177613639;9077268;97503781;14254182;259818490;294081438
68,471782541,520819684;11643866;386120474;1070980577;39742511;3493104894085156;10265399;1839002753;622986240;2089717;43611197;407275913;168834692;25958091;1779128;4561132;477782158;447317111;361798078;2146194154;1869712375;43764;438282794;1280231019;3493135481047411;1453409239;14444480;297153101;22606101;478832800;19001465;4379633;110940317;351085345;161151978;3546375581075852;648044418;3493080468556379;472547727;1858861103;261490671;286187082;37663924;105238499;53166650;3493092193732871;38157763;35321087;1368498772;3536996400105518;437501689;473222648;221708760;429674200;1847904200;450496827;44708078;1336027038;327419895;15478839;514583924;3660297;1024129080;3493105011525765;385529979;400562569;129326840;27218150;3493104959097714;3537115906312736;158272777;25120438;129819878;700744778;2100737396;242009106;1276328145;548806847;330916597;480432696;3493293360941207;3493265173121694;3493260093819171;430769865;1387592680;326251495;1744959662;440242122;49960899;378067652;356755750;349219867;23947287;473837611;1217628212;2045577567;1479452528;369072712;441507193;492840942
69,36221535,1453409239;516314798;2789543;473222648;546386905;1752550832;26616869;271894378;1870883193;9055760;18744419;106415;16836724;37090048;355804646;471303350;389245745;1130744014;1296378292;1854400894;946974;6075139;18202105;399454895;474359177;447485021;431755590;641975239;453972;517327498;27899754;7349;454885470;76480253;33595968;30907655;290526283;7377735
70,495695169,283051605;111080930;494322888;1574641450;43904118;429674200;31852969;1036269452;81715210;208130286;458154784;16015678;316505671;489321964;97213827;500928476;348022118;1529656577;102043515;3537115310721181;3537115310721781;491461719;1590705;1839002753;3493270038514560;39015838;24415866;1744910610;318464654;238203717;19337110;505225239;3089990;1919056626;397341794;5859321;3546379267869277;503603181;3546375581075852;162614431;253232513;366761116;35649506;8091229;159146024;1567045834;24792616;3461572842228424;3461579184015582;313580179;156706436;4353583;1949623008;450122070;27854884;38979291;674734501;23393364;1405515989;341520597;1090003193;25694274;109615570;400813602;46083071;1387592680;294666436;828351;16678788;431697460;305642157;13057562;302373005;101229184;493842121;37956956;2103512502;483879799;842612;5636332;26261068;1372533496;3493133874628787;609098493;96754762;62861880;490267724;490042702;3493091442952472;386900246;400630344;293229600;362163302;8942060;624708064;3493118582196953;1060544882;1813797500;1509142;482818849
71,103701980,302760404;32367854;471364864;1629467333;3493118582196953;3493270640397035;478858144;335695661;179877838;1506837499;263249641;3493265078749972;317471246;28469256;106017013;2132347058;2146315558;20682845;3537104715909319;96230424;380800207;218845928;13709678;1171359151;447738276;130711517;3494353611786900;218755707;373076765;3493268543244446;1914419;1716434113;37946996;46130038;1004246390;2071691173;3494353165093341;391468394;13705279;22690759;14757264;88511010;11667778;3178205;14306063;104228814;144709395;386093893;1187979589;2022226471;15446796;293985384;1955897084;49361795;1137066730;12692250;6847617;840875;13458469;1006552180;1300259363;135980149;82356297;269319344;3461574557698362;8049684;275299062;19137190;481855819;346291120;17057196;437717037;403869;1343324216;73939927;473222648;2703990;385281102;690924464;3493077947779517;26798384;533675317;434229997;10403961;147546636;1195284234;11097284;1257954297;687499198;1087374746;10558098;2929048;497971463;304578055;7070049;432597324;5846981;1691179740;4890593;1701469414
72,11584726,forbidden
73,2755363,forbidden
74,447317111,forbidden
75,163637592,forbidden
76,474447695,forbidden
77,399454895,267677876;429509931;1575503769;258507722;513305949;321173469;163119064;20325887;401512698;403449453;43584743;12767928;28626598;11417094;32327718;3816626;563682;25910292;12212413;9204523;479758577;5948049;478269351;944018;103701980;14583962;9617619;1465641035;474447695;495695169;81824112;5582337;66489188;910320;102359102;2379178;2789543;290548469;12285344;489535836;17588331;228342;6075139;357261525;110974;7936287;400621787;474702359;627888730;425036110;146467;272195;109437432;103232883;946974;546195;4249401;808171;7349
78,290548469,96575424;4925207;1453409239;96231202;31564941;1985127693;9824766;1839002753;544588331;37671712;36955363;377841034;3493258929899613;3494375743031447;1010101551;513194466;39340213;174890586;359817973;763231;2072832;11621613;8779497;1284184786;88461692;40333064;481825242;1732848825;1715120508;270885164;454560170;497303961;271587309;29440965;8739477;5714104;296583181;456998834;88895225;1703866639;301049302;4407376;290526283;3493106223680214;18202105;1462401621;322070860;508215481;1567748478;319656701;1385383785;544336675;3493079591946694;3493080560830654;1956887620;2233459;1366664945;392617988;1975473514;11372620;6989655;525952604;423738152;6991087;384833832;311405805;1279819076;362767725;6724070;495224316;19456751;550674844;36726929;79061224;6640131;5986989;327247876;510060721;1607984338;387598067;15434335;4796303;2074644467;1629347259;1116594862;436555613;1524554405;545392762;3442582;2015837822;259358419;447317111;21778075;451921;1087080055;481393564;1265680561;383587023;15251488;20259914
79,3816626,forbidden
80,351739137,1453409239;473222648;492303353;23686287;9056541;480305216;30079180;1192648858;7487399;29221909;220963083;355351243;176037767;31012715;205915725;387804295;927587;6302909;170948267;258564271;13754317;503481919;86439234;1503204882;8736958;30456794;384837149;275016013;107427109;9617619;946974;64846364;5211573;26412296;350163892;13829896;55801838;95961527;15773384;6966596;38653460;458165375;272716175;1968595;212474194;63486758;624052719;393260578;492840942;29404012;395135643;5294454;14101839;270359901;99157282;3433092;145677315;226243718;244135714;400519751;207261582;22779089;19729756;30438978;405561962;32092024;593660504;430726;211266606;1473247194;342380815;394165725;392991395;28042871;403413967;455442261;4242174;12056261;125526;470156882;355265445;67141499;678262635;4169956;440544870;277329684;40427625;303554127;98962489;253993900;488431941;36821228;471925146;584630077;10534933;82863756;233259047;430510309;240147697;43679186
81,137952,forbidden
